TIME,BAT_VOL_FINE_SEL_RT,LOAD_CUR_AMP,DER_RATE_YAW,DER_RATE_ROL,DER_RATE_PCH,IRU_BASE_M_TH_TEMP,EP04_IRU_HTR_M_HTR-1,EP04_IRU_HTR_M_HTR-1,LATCH_VALVE_2_ATC_R_,BD_SFLV_FLTR_R_HTR-1,BD_SFLV_FLTR_R_HTR-1,RRA-HINGE_-P+R_ATC_R,RRA_HNG_NP_PR_R_HTR-,RRA_HNG_NP_PR_R_HTR-,RRA-TOP-PLT_-P_ATC_M,RRA_TOPPLT_1M_HTR-20,RRA_TOPPLT_1M_HTR-20,RRA_DM2_ATC_M_TH_TEM,RRA_DRV_MD_2_M_HTR-1,RRA_DRV_MD_2_M_HTR-1,EP04_IRU_HTR_M_HTR-1,BD_SFLV_FLTR_R_HTR-1,RRA_HNG_NP_PR_R_HTR-,RRA_TOPPLT_1M_HTR-20,RRA_DRV_MD_2_M_HTR-1
1.63E+12,NaN,NaN,0,-0.00059,-0.04961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ON      ,OFF     ,ON      ,NaN,NaN      
1.63E+12,40.05,12.9,-0.00078,0.00039,-0.0502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,0.00039,-0.00059,-0.04981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ON      ,ON            
1.63E+12,NaN,12.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,40.01,12.38,0,-0.00098,-0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.38,0.00039,-0.00059,-0.05117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
1.63E+12,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN      
